subject,elapsed_time
HN1869,75.03362369537354
HN1697,37.0713529586792
HN1371,78.14176940917969
HN1500,73.0436155796051
HN1259,36.05567455291748
HN1395,40.87319469451904
HN1308,35.99935984611511
HN1197,72.4348623752594
HN1079,70.11926341056824
HN1067,31.378720998764038
HN1096,36.95083475112915
HN1200,29.84963083267212
HN1323,35.50720191001892
HN1517,71.51545310020447
HN1703,53.73303174972534
HN1851,110.40890598297119
HN1860,32.30552268028259
HN1555,70.25985074043274
HN1813,34.56628489494324
HN1022,70.31510043144226
HN1357,69.87754011154175
HN1342,94.38717079162598
HN1192,-23.767544507980347
HN1123,69.67097806930542
HN1117,70.11692714691162
HN1901,33.38651895523071
HN1057,69.81658411026001
HN1102,69.77528548240662
HN1139,70.6033456325531
HN1412,34.541555881500244
HN1968,69.94281601905823
HN1444,69.94184231758118
HN1046,36.519153118133545
HN1026,71.16650295257568
HN1029,70.56145453453064
HN1368,70.35497784614563
HN1417,71.28868627548218
HN1118,69.85113263130188
HN1892,70.0137448310852
HN1486,69.87657761573792
HN1088,35.44754600524902
HN1760,69.902019739151
HN1092,31.448546886444092
HN1748,35.53224229812622
HN1469,69.87140655517578
HN1355,31.209507942199707
HN1146,34.979037284851074
HN1648,69.75366950035095
HN1572,32.31836247444153
HN1792,34.72847533226013
HN1077,32.6038761138916
HN1485,69.82142663002014
HN1271,33.801953077316284
HN1310,69.8002827167511
HN1719,33.780421018600464
HN1006,70.10176110267639
HN1244,45.6451621055603
HN1339,35.4802086353302
HN1215,69.70228672027588
HN1653,69.82093238830566
HN1356,29.558587312698364
HN1170,70.18510270118713
HN1083,71.06871962547302
HN1367,32.310038805007935
HN1815,69.90257453918457
HN1372,35.14026212692261
HN1062,69.7691068649292
HN1461,69.8546302318573
HN1429,80.25293898582458
HN1514,33.17474913597107
HN1180,70.65683341026306
HN1465,70.07136225700378
HN1519,33.493473291397095
HN1319,54.63194179534912
HN1294,69.82158732414246
HN1600,69.87945771217346
HN1060,33.30996322631836
HN1047,69.71851634979248
HN1998,103.95784258842468
HN1363,69.99646949768066
HN1987,70.03074026107788
HN1074,70.23019909858704
HN1483,29.681949853897095
HN1081,70.00584983825684
HN1054,70.23733973503113
HN1004,38.48661136627197
HN1562,69.84384560585022
HN1127,70.50199890136719
HN1106,70.36047840118408
HN1501,33.385940074920654
HN1910,28.662628650665283
HN1950,69.98522400856018
HN1487,35.400890827178955
HN1791,70.16032099723816
HN1400,34.389846086502075
HN1369,31.374743461608887
HN1095,69.94423699378967
HN1827,70.48183631896973
HN1554,36.321494340896606
HN1488,35.16300892829895
HN1560,33.8897762298584
HN1201,70.00318384170532
HN1900,70.03152871131897
HN1679,70.2441418170929
HN1640,70.08333730697632
HN1442,70.02378964424133
HN1524,42.81347370147705
HN1913,32.385333776474
HN1208,32.061588287353516
HN1538,70.45645570755005
HN1609,32.58340239524841
HN1344,69.66570496559143
HN1879,69.85759854316711
HN1610,69.75702214241028
HN1305,70.11885643005371
HN1502,35.31829810142517
HN1135,43.52555012702942
HN1280,69.80484461784363
HN1260,30.79136633872986
HN1159,33.315274715423584
HN1954,27.040324926376343
HN1324,69.65723514556885
HN1549,30.51611566543579
HN1922,69.85211372375488
HN1331,32.347254276275635
HN1667,35.35102581977844
HN1839,45.86666393280029
HN1263,29.02094268798828
HN1491,93.72115421295166
HN1896,70.12807059288025
HN1175,11.325014352798462
HN1793,69.81813883781433
HN1080,70.09594392776489
HN1327,69.95340085029602
HN1838,38.434011697769165
HN1805,35.965476512908936
HN1933,70.09693574905396
