subject,elapsed_time
HN1869,0.13594865798950195
HN1697,0.037282705307006836
HN1371,0.06335783004760742
HN1500,0.057351112365722656
HN1259,0.03395724296569824
HN1395,0.035811424255371094
HN1308,0.03993034362792969
HN1197,0.053424835205078125
HN1079,0.07920646667480469
HN1067,0.032306671142578125
HN1096,0.037816762924194336
HN1200,0.03280067443847656
HN1323,0.04417729377746582
HN1517,0.05481600761413574
HN1703,0.044696807861328125
HN1851,0.09475278854370117
HN1860,0.03492307662963867
HN1555,0.05360698699951172
HN1813,0.036612510681152344
HN1022,0.0541532039642334
HN1357,0.060262441635131836
HN1342,0.05548739433288574
HN1192,0.03699851036071777
HN1123,0.055712223052978516
HN1117,0.05983114242553711
HN1901,0.037557125091552734
HN1057,0.05488109588623047
HN1102,0.07768058776855469
HN1139,0.05687832832336426
HN1412,0.037964582443237305
HN1968,0.051580190658569336
HN1444,0.05305194854736328
HN1046,0.03844857215881348
HN1026,0.08927607536315918
HN1029,0.05597352981567383
HN1368,0.05803871154785156
HN1417,0.05231976509094238
HN1118,0.057648658752441406
HN1892,0.05645275115966797
HN1486,0.08040904998779297
HN1088,0.04115104675292969
HN1760,0.05047321319580078
HN1092,0.03870511054992676
HN1748,0.039162635803222656
HN1469,0.054694175720214844
HN1355,0.06246304512023926
HN1146,0.03786587715148926
HN1648,0.05610537528991699
HN1572,0.03307700157165527
HN1792,0.04092979431152344
HN1077,0.033720970153808594
HN1485,0.055355072021484375
HN1271,0.05963468551635742
HN1310,0.04732322692871094
HN1719,0.03913402557373047
HN1006,0.0550684928894043
HN1244,0.04269266128540039
HN1339,0.0382840633392334
HN1215,0.05638623237609863
HN1653,0.08524966239929199
HN1356,0.037938833236694336
HN1170,0.055049896240234375
HN1083,0.0514979362487793
HN1367,0.04509091377258301
HN1815,0.053287506103515625
HN1372,-0.2612912654876709
HN1062,0.05621457099914551
HN1461,0.05185532569885254
HN1429,0.05931520462036133
HN1514,0.03448128700256348
HN1180,0.0551912784576416
HN1465,0.07835030555725098
HN1519,0.0360867977142334
HN1319,0.046669960021972656
HN1294,0.057372331619262695
HN1600,0.04746866226196289
HN1060,0.042444467544555664
HN1047,0.08853363990783691
HN1998,0.06987357139587402
HN1363,0.05578899383544922
HN1987,0.0526585578918457
HN1074,0.05594992637634277
HN1483,0.03606700897216797
HN1081,0.08103084564208984
HN1054,0.05500388145446777
HN1004,0.038622140884399414
HN1562,0.05293869972229004
HN1127,0.05758523941040039
HN1106,0.07827877998352051
HN1501,0.03836655616760254
HN1910,0.03434610366821289
HN1950,0.053725242614746094
HN1487,0.03798532485961914
HN1791,0.05906176567077637
HN1400,0.0412592887878418
HN1369,0.0621645450592041
HN1095,0.05569052696228027
HN1827,0.05674028396606445
HN1554,0.03361630439758301
HN1488,0.04208064079284668
HN1560,0.03324079513549805
HN1201,-0.12019586563110352
HN1900,0.07957029342651367
HN1679,0.0504603385925293
HN1640,0.056867361068725586
HN1442,0.05827903747558594
HN1524,0.040041446685791016
HN1913,0.035674095153808594
HN1208,0.06624841690063477
HN1538,0.05611824989318848
HN1609,0.03586864471435547
HN1344,0.057773590087890625
HN1879,0.06040525436401367
HN1610,0.05385184288024902
HN1305,0.07831692695617676
HN1502,0.039812564849853516
HN1135,0.046774864196777344
HN1280,0.06761908531188965
HN1260,0.0339200496673584
HN1159,0.03462624549865723
HN1954,0.03069782257080078
HN1324,0.08254623413085938
HN1549,0.034925222396850586
HN1922,0.0570523738861084
HN1331,0.03493762016296387
HN1667,0.03553414344787598
HN1839,0.044347524642944336
HN1263,0.056664466857910156
HN1491,0.044174909591674805
HN1896,0.051939964294433594
HN1175,0.0525815486907959
HN1793,0.05725216865539551
HN1080,0.05605006217956543
HN1327,0.0786736011505127
HN1838,0.03830766677856445
HN1805,0.04316997528076172
HN1933,0.05620622634887695
